eventid;iyear;imonth;iday;approxdate;extended;resolution;country;country_txt;region;region_txt;provstate;city;latitude;longitude;specificity;vicinity;location;summary;crit1;crit2;crit3;doubtterr;alternative;alternative_txt;multiple;success;suicide;attacktype1;attacktype1_txt;attacktype2;attacktype2_txt;attacktype3;attacktype3_txt;targtype1;targtype1_txt;targsubtype1;targsubtype1_txt;corp1;target1;natlty1;natlty1_txt;targtype2;targtype2_txt;targsubtype2;targsubtype2_txt;corp2;target2;natlty2;natlty2_txt;targtype3;targtype3_txt;targsubtype3;targsubtype3_txt;corp3;target3;natlty3;natlty3_txt;gname;gsubname;gname2;gsubname2;gname3;ingroup;ingroup2;ingroup3;gsubname3;motive;guncertain1;guncertain2;guncertain3;nperps;nperpcap;claimed;claimmode;claimmode_txt;claim2;claimmode2;claimmode2_txt;claim3;claimmode3;claimmode3_txt;compclaim;weaptype1;weaptype1_txt;weapsubtype1;weapsubtype1_txt;weaptype2;weaptype2_txt;weapsubtype2;weapsubtype2_txt;weaptype3;weaptype3_txt;weapsubtype3;weapsubtype3_txt;weaptype4;weaptype4_txt;weapsubtype4;weapsubtype4_txt;weapdetail;nkill;nkillus;nkillter;nwound;nwoundus;nwoundte;property;propextent;propextent_txt;propvalue;propcomment;ishostkid;nhostkid;nhostkidus;nhours;ndays;divert;kidhijcountry;ransom;ransomamt;ransomamtus;ransompaid;ransompaidus;ransomnote;hostkidoutcome;hostkidoutcome_txt;nreleased;addnotes;scite1;scite2;scite3;dbsource;INT_LOG;INT_IDEO;INT_MISC;INT_ANY;related
1,99001E+11;1990;1;12;;0;;217;United States;1;North America;Puerto Rico;Carolina;18.380782;-65.957387;1;0;;1/12/1990: In a series of two related attacks, members of the Pedro Albizu Campos Revolutionary Forces bombed the Westinghouse Electric Supply Company in Carolina, Puerto Rico.  There were no casualties but the building sustained $3,500 in damages.;1;1;1;0;;.;1;1;0;3;Bombing/Explosion;;.;;.;21;Utilities;107;Electricity;Westinghouse Electric Supply Company;Westinghouse Electric Supply Company, Carolina Puerto Rico;217;United States;;.;;.;;;;.;;.;;.;;;;.;Pedro Albizu Campos Revolutionary Forces;;;;;10034;;;;To protest United States presence in Puerto Rico;0;;;-99;-99;1;1;Letter;;;.;;;.;;6;Explosives/Bombs/Dynamite;16;Unknown Explosive Type;;.;;.;;.;;.;;.;;.;Pipe bomb;0;0;0;0;0;0;1;3;Minor (likely < $1 million);3500;Window shattered;0;;;;;;;0;;;;;;;.;;This is part of a multiple attack with 199001120006.  The bomb detonated around 2:30 AM.  The Eugenio Maria de Hostos International Brigade of the Pedro Albizu Campos Revolutionary Forces sent a communiqué to Agencia EFE, a Spanish News Agency, claiming credit for this attack.;"""Terrorism in the United States 1990,"" Terrorist Research and Analytical Center, Counterterrorism Section Criminal Investigative Division, FBI, 1990.";"""Pipe Bombs Damage Marine Corps Center, Westinghouse Store,"" Associated Press, January 12, 1990.";"Peter Grier, ""Terrorist Impact In US Still Small,"" Christian Science Monitor, August 8, 1991.";Hewitt Project;0;0;0;0;1,99001E+11
1,99001E+11;1990;1;12;;0;;217;United States;1;North America;Puerto Rico;Santurce;18.448144;-66.064197;1;0;;1/12/1990: In a series of two related attacks, members of the Pedro Albizu Campos Revolutionary Forces bombed the United States Navy Recruiting Office in Santurce, Puerto Rico.  There were no casualties but the building sustained $5,000 in damages.;1;1;1;0;;.;1;1;0;3;Bombing/Explosion;;.;;.;4;Military;28;Military Recruiting Station/Academy;United States Navy Recruiting Office;United States Navy Recruiting Office in Santurce Puerto Rico;217;United States;;.;;.;;;;.;;.;;.;;;;.;Pedro Albizu Campos Revolutionary Forces;;;;;10034;;;;To protest United States presence in Puerto Rico;0;;;-99;-99;1;1;Letter;;;.;;;.;;6;Explosives/Bombs/Dynamite;16;Unknown Explosive Type;;.;;.;;.;;.;;.;;.;Pipe bomb;0;0;0;0;0;0;1;3;Minor (likely < $1 million);5000;Glass door shattered;0;;;;;;;0;;;;;;;.;;This is part of a multiple attack with 199001120005.  The bomb detonated around 2:30 AM.  The Eugenio Maria de Hostos International Brigade of the Pedro Albizu Campos Revolutionary Forces sent a communiqué to Agencia EFE, a Spanish News Agency, claiming credit for this attack.;"""Terrorism in the United States 1990,"" Terrorist Research and Analytical Center, Counterterrorism Section Criminal Investigative Division, FBI, 1990.";"""Pipe Bombs Damage Marine Corps Center, Westinghouse Store,"" Associated Press, January 12, 1990.";"Peter Grier, ""Terrorist Impact In US Still Small,"" Christian Science Monitor, August 8, 1991.";Hewitt Project;0;0;0;0;1,99001E+11
1,99001E+11;1990;1;30;;0;;217;United States;1;North America;Texas;Houston;29.729316;-95.433578;1;0;3700 Southwest Freeway;1/30/1990: Unknown perpetrators sent a mail bomb to Lakewood Church in Houston, Texas, United States.  The package was addressed to John Osteen, the pastor of the church.  The device detonated when Lisa Osteen, the pastor's daughter, opened the package.  She was wounded but survived her injuries.;1;1;1;0;;.;0;1;0;3;Bombing/Explosion;;.;;.;15;Religious Figures/Institutions;85;Religious Figure;Christian Evangelist;John Osteen;217;United States;;.;;.;;;;.;;.;;.;;;;.;Unknown;;;;;-9;;;;;0;;;-99;-99;0;;.;;;.;;;.;;6;Explosives/Bombs/Dynamite;9;Letter Bomb;;.;;.;;.;;.;;.;;.;Shoebox sized pipe bomb filled with large nails wrapped in a package;0;0;0;1;1;0;0;;.;;;0;;;;;;;0;;;;;;;.;;The bomb detonated at 10:40 AM.  The package was mailed on January 26, 1990.  Authorities believe that this incident is connected with the mail bombing of Pat Robertson's Christian Broadcasting Network on April 27, 1990 (199004270007).  Both devices listed a return address from Fayetteville, North Carolina.;"Mary Schlangenstein, ""Pipe Bomb Injures Minister's Daughter at Church,"" United Press International, January 30, 1990.";"""Similarities Noted Between Two Religious Bombings,"" Associated Press, April 29, 1990.";"Mitchell Miller, ""Letter Bomb Addressed to Robertson Injures One,"" United Press International, April 27, 1990.";Hewitt Project;-9;-9;0;-9;
1,99001E+11;1990;1;30;;0;;217;United States;1;North America;Arizona;Tucson;32.222232;-110.925752;1;0;;01/30/1990: Muslim cleric and leader of an area mosque in Tucson, Arizona, in the United States, Rashad Khalifa, was stabbed to death in the kitchen of the mosque.  Khalifa was stabbed over twenty times after receiving prior death threats over his interpretation of the Quran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,99002E+11;1990;2;8;;0;;217;United States;1;North America;Tennessee;Knoxville;36.012576;-84.016279;1;0;outside residence at 6608 Northboro Rd in Knoxville, TN;02/08/1990: Dr. Hyram Kitchen, dean of the University of Tennessee College of Veterinary Medicine, was shot to death outside his home and horse farm in Knoxville, Tennessee in the United States, by unknown perpetrator(s).  As he was on his way to work, Kitchen was shot eight times with a .22-caliber handgun as he left his horse farm.  After the incident, police warned veterinary college deans around the country , as a precaution, that based on an unconfirmed report, an animal rights extremist group threatened to kill one dean a month for the next year to protest laboratory research on animals, and that a militant underground animal rights faction may have been responsible for killing Kitchen, though the perpetrator of the incident was never identified and no one claimed responsibility.;1;1;1;1;2;Other Crime Type;0;1;0;1;Assassination;;.;;.;8;Educational Institution;50;Other Personnel;Hyram Kitchen, dean of the University of Tennessee College of Veterinary Medicine;Hyram Kitchen, dean of the University of Tennessee College of Veterinary Medicine;217;United States;;.;;.;;;;.;;.;;.;;;;.;Unknown;;;;;-9;;;;The specific motive is unknown.;0;;;-99;-99;0;;.;;;.;;;.;;5;Firearms;3;Handgun;;.;;.;;.;;.;;.;;.;.22 caliber handgun;1;1;0;0;0;0;0;;.;;;0;;;;;;;0;;;;;;;.;;Kitchen was shot four times in the face and chest, twice in the back as he ran away and twice point-blank in the back of the head as he lay on the ground.  His assailant was never identified, and the case remains a cold case.  Though animal rights activists were suspected in his murder, it is unknown if Kitchen was in fact killed by them.  The alert put out by police stated that a ''a splinter group'' of People for the Ethical Treatment of Animals, or PETA, and the underground Animal Liberation Front may have been involved in the incidents based on unconfirmed reports of threats from animal rights extremists, but members of animal rights groups denied any involvement and denounced police for creating hysteria.;"Bill Brewer, ""Animal rights activists denounce police alert,"" United Press International, February 26, 1990.";"""Police Caution Veterinary College Deans,"" Los Angeles Times, February 25, 1990.";"""1990 Homicide of Hyram Kitchen,"" Knox County Sheriff's Office, June 9, 2008.";Eco Project 2010;-9;-9;0;-9;
1,99002E+11;1990;2;22;;0;;217;United States;1;North America;California;Los Angeles;34.05349;-118.245319;1;0;;;1;1;1;0;;.;0;1;0;3;Bombing/Explosion;;.;;.;2;Government (General);21;Government Building/Facility/Office;U.S. Government;Internal Revenue Service;217;United States;;.;;.;;;;.;;.;;.;;;;.;Up the IRS, Inc;;;;;5307;;;;;0;;;1;;;;.;;;.;;;.;;6;Explosives/Bombs/Dynamite;15;Vehicle;;.;;.;;.;;.;;.;;.;Truck bomb with explosive chemicals;0;0;0;0;0;0;1;;.;;;0;;;;;;;0;;;;;;;.;;;;;;HSI;0;0;0;0;
1,99003E+11;1990;3;30;;0;;217;United States;1;North America;Massachusetts;Quincy;42.252285;-71.004164;1;0;;03/30/1990: Arson is set to the Islamic Center of New England mosque in Quincy, Massachusetts, United States.  There were no casualties in the incident;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,99004E+11;1990;4;22;;1;4/23/90;217;United States;1;North America;California;Freedom;36.940556;-121.789444;1;0;in Freedom, California, a sparsely populated area located outside Watsonville;"04/22/1990: Members of a group calling itself the ""Earth Night Action Group"" claimed responsibility for sawing down two wooden power poles and on the next day, dismantling a 100-foot transmission tower in Freedom, in Santa Cruz County, California in the United States.  In letters to news organizations, the group claimed they toppled the power poles as a protest against the Pacific Gas and Electric Company.  The incident caused  92,000 homes to lose power for about six hours. No casualties were reported in the incident. In the letters, the perpetrators called the Pacific Gas & Electric Company ""a corporate Earth rapist"" for its ownership of the Diablo Canyon nuclear power plant near San Luis Obispo and denounced the organization for hypocrisy for acting as a corporate sponsor of Earth Day.  The amount of monetary damage is unknown.";1;1;1;0;;.;0;1;0;7;Facility/Infrastructure Attack;;.;;.;21;Utilities;107;Electricity;Pacific Gas & Electric Company;power poles and transmission tower of Pacific Gas & Electric Co. in Santa Cruz County, CA;217;United States;;.;;.;;;;.;;.;;.;;;;.;Earth Night Action Group;;;;;10058;;;;To protest the Pacific Gas & Electric Company;0;;;-99;-99;1;1;Letter;;;.;;;.;;11;Sabotage Equipment;;.;;.;;.;;.;;.;;.;;.;hand saws;0;0;0;0;0;0;1;4;Unknown;;caused 92,000 homes in the area to be without power for six hours;0;;;;;;;0;;;;;;;.;;;"Jim Herron Zamora and Michael Parrish, ""Most Decry, a Few Salute Sabotage of Power Lines Energy: Residents of Watsonville and Santa Cruz have passionate opinions on vandals who knocked out electricity,"" Los Angeles Times, April 25, 1990.";"Jim Clardy,""Electric lines felled by ecology terrorists,"" The Washington Times, April 25, 1990.";"Valerie Richardson, ""Ecoterrorists put 92,000 homes in dark,"" The Washington Times, April 24, 1990.";Eco Project 2010;0;0;0;0;
1,99004E+11;1990;4;22;;0;;217;United States;1;North America;Virginia;Alexandria;38.793002;-77.087384;1;0;at the 3400 block of Franconia Road in Alexandria, VA;"04/22/1990: Three utility poles owned by Virginia Power, were sawed down, damaging eleven additional power lines as they toppled to the ground, and blocking traffic in both directions for several hours and leaving 1,100 homes in the Fairfax area without power for about 90 minutes for the majority of homes, but some homes lost electricity until the next day.  An unknown group gave ""notice that in order to draw attention to Earth Day, or to protest certain things, some of their tactics could include the cutting down of utility poles.""  The perpetrators are unknown.  No casualties were reported and the extent of monetary property damage is unknown, if any.";1;1;1;0;;.;0;1;0;7;Facility/Infrastructure Attack;;.;;.;21;Utilities;107;Electricity;Virginia Power;utility poles of Virginia Power;217;United States;;.;;.;;;;.;;.;;.;;;;.;Environmentalist;;;;;10059;;;;In order to give attention to Earth Day and protest;0;;;-99;-99;1;1;Letter;;;.;;;.;;11;Sabotage Equipment;;.;;.;;.;;.;;.;;.;;.;chainsaw;0;0;0;0;0;0;1;4;Unknown;;caused 1,100 homes to lose power;0;;;;;;;0;;;;;;;.;;Incident occurred at about 1:00am.  On the same day, power poles were sawed and toppled in Santa Cruz, California by the Earth Night Action Group in protest of Pacific Gas & Eclectic Company, but there is no indication of a link between these two incidents in terms of the perpetrators.;"Jim Clardy,""Electric lines felled by ecology terrorists,"" The Washington Times, April 25, 1990.";;;Eco Project 2010;-9;-9;0;-9;
1,99004E+11;1990;4;23;;0;;217;United States;1;North America;California;Santa Clara;37.355509;-121.954262;1;0;at electrical tower in Santa Clara, CA;04/23/1990: A Pacific Gas & Electric electrical transmission tower in Santa Clara, California, in the United States, was dismantled, causing 3,000 homes to lose power. No group claimed responsibility for the incident.  The extent of property damage is unknown, if any, and no casualties were reported in the incident.;1;1;1;0;;.;0;1;0;7;Facility/Infrastructure Attack;;.;;.;21;Utilities;107;Electricity;Pacific Gas & Electric Company;Pacific Gas & Electric Company electrical tower in Santa Clara, CA;217;United States;;.;;.;;;;.;;.;;.;;;;.;Unknown;;;;;-9;;;;The specific motive is unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
